Date,Open,High,Low,Close,Adj Close,Volume
2018-02-07,101.129997,101.199997,99.599998,100.070000,95.298264,11485
2018-02-08,101.139999,102.930000,100.910004,101.529999,96.688637,28945
2018-02-09,100.400002,103.599998,100.360001,103.080002,98.164726,528660
2018-02-12,103.860001,105.000000,102.040001,103.580002,98.640892,11345
2018-02-14,104.599998,109.709999,104.000000,106.699997,101.612114,57720
2018-02-15,105.599998,108.379997,104.599998,105.050003,100.040802,35655
2018-02-16,106.349998,106.769997,103.800003,104.949997,99.945564,49255
2018-02-19,104.000000,105.050003,102.339996,103.290001,98.364723,25180
2018-02-20,104.559998,105.169998,103.000000,103.669998,98.726585,44760
2018-02-21,103.809998,104.300003,103.000000,103.400002,98.469467,32910
2018-02-22,103.000000,103.779999,102.199997,102.620003,97.726669,547780
2018-02-23,103.300003,104.029999,102.830002,102.989998,98.079010,11190
2018-02-26,104.000000,104.800003,102.400002,104.239998,99.269409,68795
2018-02-27,104.919998,106.910004,104.180000,106.489998,101.412117,615055
2018-02-28,105.639999,108.559998,105.199997,107.669998,102.535858,1200260
2018-03-01,108.290001,108.769997,106.029999,106.500000,101.421654,19265
2018-03-05,109.500000,109.500000,104.419998,105.790001,100.745514,72625
2018-03-06,107.900002,108.400002,106.000000,106.870003,101.774010,101135
2018-03-07,106.800003,106.809998,103.000000,104.139999,99.174171,43100
2018-03-08,104.120003,105.000000,102.599998,103.580002,98.640892,87145
2018-03-09,104.940002,105.029999,103.610001,104.050003,99.088478,22415
2018-03-12,103.970001,104.760002,103.910004,104.339996,99.364655,19950
2018-03-13,103.599998,108.589996,103.599998,107.879997,102.735847,94800
2018-03-14,107.739998,108.379997,106.019997,107.389999,102.269211,61190
2018-03-15,106.209999,107.879997,106.209999,106.750000,101.659737,50165
2018-03-16,106.430000,107.610001,102.449997,105.139999,100.126503,61845
2018-03-19,105.949997,105.949997,103.559998,104.760002,99.764618,58625
2018-03-20,104.010002,104.300003,102.620003,102.809998,97.907600,39200
2018-03-21,103.519997,103.959999,101.800003,102.389999,97.507629,48040
2018-03-22,102.160004,103.400002,100.910004,101.320000,96.488640,60475
2018-03-23,100.699997,101.639999,99.589996,101.519997,96.679115,62680
2018-03-26,101.769997,102.599998,99.320000,101.040001,96.222008,63235
2018-03-27,101.449997,103.000000,100.099998,101.339996,96.507698,56360
2018-03-28,101.199997,102.779999,99.650002,100.620003,95.822037,30385
2018-04-02,100.980003,102.000000,100.040001,101.580002,96.736252,48505
2018-04-03,102.510002,104.000000,101.339996,102.699997,97.802849,45885
2018-04-04,103.180000,103.400002,101.820000,102.010002,97.145752,44020
2018-04-05,102.269997,102.790001,101.220001,101.660004,96.812447,35725
2018-04-06,101.209999,102.000000,100.820000,101.540001,96.698174,40810
2018-04-09,101.989998,102.400002,99.400002,100.019997,95.250648,3374050
2018-04-10,100.879997,101.559998,99.220001,101.300003,96.469604,44895
2018-04-11,101.220001,101.400002,100.250000,100.669998,95.869637,17000
2018-04-12,101.000000,101.199997,100.400002,100.930000,96.117249,12585
2018-04-13,100.430000,100.930000,99.599998,100.080002,95.307777,12750
2018-04-16,100.000000,100.790001,99.720001,99.919998,95.155418,13475
2018-04-17,99.809998,101.199997,99.809998,100.419998,95.631561,46320
2018-04-18,101.019997,101.400002,100.019997,100.199997,95.422050,34510
2018-04-19,100.099998,100.599998,99.389999,100.400002,95.612526,38565
2018-04-20,100.169998,102.000000,99.820000,101.730003,96.879112,418085
2018-04-23,101.699997,103.199997,100.209999,101.029999,96.212494,8936310
2018-04-24,101.980003,102.330002,100.430000,100.709999,95.907738,58550
2018-04-25,100.599998,101.809998,100.400002,100.820000,96.012482,26050
2018-04-26,101.099998,101.879997,100.400002,101.440002,96.602943,37610
2018-04-27,101.110001,101.519997,100.510002,100.970001,96.155350,39665
2018-04-30,101.000000,103.400002,100.610001,102.459999,97.574287,48370
2018-05-02,102.800003,103.250000,100.620003,100.989998,96.174393,31340
2018-05-03,100.949997,100.949997,99.800003,100.300003,95.517296,10860
2018-05-04,101.059998,101.580002,100.400002,100.959999,96.145813,13380
2018-05-07,101.500000,101.790001,100.199997,100.320000,95.536346,21555
2018-05-08,100.900002,101.190002,100.199997,100.680000,95.879173,30920
2018-05-09,100.980003,101.190002,99.650002,99.889999,95.126831,25810
2018-05-10,100.949997,100.949997,96.669998,98.099998,93.422195,66390
2018-05-11,99.000000,99.000000,96.000000,97.669998,93.012695,68270
2018-05-14,96.809998,97.199997,95.610001,96.070000,91.488991,16585
2018-05-15,96.199997,97.400002,94.400002,95.110001,90.574768,62685
2018-05-16,94.320000,95.199997,91.849998,92.150002,87.755913,58275
2018-05-17,92.209999,94.809998,91.849998,92.589996,88.174927,40110
2018-05-18,92.879997,93.000000,91.199997,91.820000,87.441643,51820
2018-05-21,91.699997,92.599998,88.000000,89.779999,85.498940,58780
2018-05-22,87.849998,90.570000,87.849998,89.349998,85.089432,48100
2018-05-23,88.019997,91.000000,88.019997,89.349998,85.089432,15290
2018-05-24,92.379997,92.379997,89.550003,91.050003,86.708374,28920
2018-05-25,91.199997,93.349998,90.010002,92.660004,88.241608,17795
2018-05-28,93.589996,96.000000,93.589996,95.209999,90.670006,21310
2018-05-29,93.019997,95.199997,93.000000,93.260002,88.812996,14605
2018-05-30,91.400002,93.980003,91.400002,92.000000,87.613068,41400
2018-05-31,93.199997,94.379997,92.470001,93.699997,89.231995,17560
2018-06-01,94.599998,94.599998,91.019997,91.849998,87.470222,10655
2018-06-04,90.099998,92.800003,89.019997,92.199997,87.803528,17000
2018-06-05,92.400002,93.320000,90.400002,90.419998,86.108406,31095
2018-06-06,90.599998,94.000000,90.599998,93.680000,89.212959,38495
2018-06-07,93.790001,93.970001,92.400002,93.510002,89.051071,23580
2018-06-08,93.199997,98.000000,93.199997,96.480003,91.879440,38330
2018-06-11,98.199997,101.919998,97.599998,100.449997,95.660141,70575
2018-06-12,101.699997,102.220001,99.260002,99.500000,94.755440,22520
2018-06-13,99.599998,101.989998,97.260002,98.029999,93.355537,17830
2018-06-14,98.199997,99.099998,97.000000,97.589996,92.936508,14440
2018-06-15,98.919998,103.000000,98.919998,99.800003,95.041130,33900
2018-06-18,101.220001,102.199997,99.000000,99.410004,94.669731,22875
2018-06-19,101.400002,101.400002,97.050003,97.750000,93.088882,9590
2018-06-20,99.070000,99.400002,97.000000,97.790001,93.126976,4440
2018-06-21,99.000000,99.000000,96.669998,96.889999,92.269905,1985
2018-06-22,96.059998,96.320000,95.379997,95.769997,91.203293,2795
2018-06-25,95.660004,96.000000,93.440002,93.779999,89.308189,10110
2018-06-26,93.919998,95.000000,92.059998,93.410004,88.955841,19200
2018-06-27,92.050003,94.779999,90.620003,92.379997,87.974945,16745
2018-06-28,92.000000,92.000000,89.660004,90.239998,86.216980,26250
2018-06-29,91.879997,92.650002,91.089996,92.150002,88.041824,3390
2018-07-02,92.500000,95.800003,91.809998,93.089996,88.939919,15510
2018-07-03,92.599998,95.400002,92.410004,94.790001,90.564133,9570
2018-07-04,97.599998,100.599998,94.690002,98.070000,93.697914,35695
2018-07-05,97.180000,97.199997,96.000000,96.220001,91.930374,8675
2018-07-06,95.059998,96.010002,94.220001,95.320000,91.070503,7730
2018-07-09,95.199997,96.660004,94.250000,95.269997,91.022736,6230
2018-07-10,95.559998,96.110001,94.220001,94.290001,90.086418,3700
2018-07-11,94.220001,95.410004,93.050003,93.730003,89.551392,15840
2018-07-12,92.720001,95.379997,92.220001,92.910004,88.767944,15845
2018-07-13,93.000000,94.599998,92.230003,93.639999,89.465401,2515
2018-07-16,93.800003,93.800003,92.220001,92.680000,88.548203,7815
2018-07-17,93.000000,94.989998,91.000000,91.870003,87.774307,21460
2018-07-18,92.269997,93.190002,90.000000,90.180000,86.159653,7400
2018-07-19,91.000000,91.550003,88.269997,89.599998,85.605499,7540
2018-07-20,89.320000,90.800003,88.000000,88.830002,84.869835,15640
2018-07-23,89.410004,92.599998,88.809998,90.529999,86.494049,10325
2018-07-24,91.150002,91.800003,89.930000,90.269997,86.245644,3320
2018-07-25,89.010002,91.949997,89.010002,90.360001,86.331627,17940
2018-07-26,90.000000,90.800003,89.050003,89.400002,85.414421,11380
2018-07-27,89.290001,90.650002,89.000000,89.940002,85.930351,11075
2018-07-30,90.000000,92.050003,89.860001,90.199997,86.178741,25680
2018-07-31,90.790001,91.599998,90.790001,91.220001,87.153282,19065
2018-08-01,92.000000,92.000000,90.099998,91.680000,87.592773,9120
2018-08-02,92.589996,93.989998,90.989998,93.599998,89.427177,7045
2018-08-03,93.589996,94.589996,93.589996,93.860001,89.675598,7390
2018-08-06,90.099998,90.099998,86.019997,87.309998,83.417595,167340
2018-08-07,87.199997,88.000000,86.029999,86.639999,82.777466,42070
2018-08-08,87.000000,89.000000,87.000000,88.070000,84.143723,21290
2018-08-09,88.000000,88.580002,87.550003,88.180000,84.248810,20435
2018-08-10,88.000000,90.480003,87.230003,87.599998,83.694679,24450
2018-08-13,87.260002,88.290001,85.000000,87.930000,84.009956,14545
2018-08-14,86.110001,89.800003,86.099998,89.470001,85.481308,11085
2018-08-16,88.349998,88.800003,88.000000,88.059998,84.134171,6210
2018-08-17,87.809998,89.379997,87.510002,88.919998,84.955811,18085
2018-08-20,88.209999,88.970001,87.800003,88.309998,84.373016,6315
2018-08-21,88.220001,92.360001,88.059998,90.500000,86.465385,23875
2018-08-23,91.080002,91.400002,87.000000,89.209999,85.232895,141090
2018-08-24,88.800003,88.900002,88.000000,88.209999,84.277473,9065
2018-08-27,88.199997,89.059998,87.010002,87.639999,83.732880,57920
2018-08-28,88.779999,88.779999,87.800003,88.129997,84.201042,10555
2018-08-29,88.199997,88.820000,87.400002,87.739998,83.828430,15215
2018-08-30,91.019997,92.870003,87.599998,87.879997,83.962181,100435
2018-08-31,90.000000,90.000000,87.050003,87.580002,83.675568,19485
2018-09-03,88.400002,88.699997,87.250000,87.750000,83.837990,12950
2018-09-04,87.410004,87.610001,86.000000,86.290001,82.443069,10810
2018-09-05,86.000000,86.440002,85.599998,85.820000,81.994019,3550
2018-09-06,86.500000,87.260002,85.820000,86.730003,82.863464,4810
2018-09-07,86.800003,87.970001,85.820000,86.190002,82.347527,15485
